GO category	GO	Term	Annotated	Significant	Expected	topGO (Fisher)	classic (Fisher)
BP	GO:0051301	cell division	487	230	141.78	3.5e-25	5.0e-18
BP	GO:0006355	regulation of transcription, DNA-templat...	2036	709	592.74	3.7e-11	4.4e-10
BP	GO:0007049	cell cycle	1181	561	343.83	4.2e-11	< 1e-30
BP	GO:0006397	mRNA processing	386	196	112.38	1.2e-10	8.3e-20
BP	GO:0006606	protein import into nucleus	180	73	52.4	9.2e-10	0.00061
BP	GO:0008033	tRNA processing	93	65	27.08	1.5e-09	4.0e-16
BP	GO:0034587	piRNA metabolic process	19	18	5.53	3.0e-09	3.0e-09
BP	GO:0006260	DNA replication	213	131	62.01	3.3e-09	4.3e-23
BP	GO:0031047	gene silencing by RNA	80	51	23.29	1.0e-08	1.2e-10
BP	GO:0007062	sister chromatid cohesion	55	34	16.01	2.4e-08	4.5e-07
BP	GO:0000724	double-strand break repair via homologou...	75	51	21.83	2.7e-08	3.2e-12
BP	GO:0006281	DNA repair	385	221	112.09	1.5e-07	< 1e-30
BP	GO:0008380	RNA splicing	337	157	98.11	2.2e-07	4.5e-12
BP	GO:0034501	protein localization to kinetochore	12	12	3.49	3.7e-07	3.7e-07
BP	GO:1901796	regulation of signal transduction by p53...	60	33	17.47	6.3e-07	2.3e-05
BP	GO:0000278	mitotic cell cycle	551	264	160.41	7.1e-07	1.1e-21
BP	GO:0006417	regulation of translation	244	110	71.04	7.5e-07	6.7e-08
BP	GO:0007131	reciprocal meiotic recombination	25	19	7.28	1.1e-06	1.6e-06
BP	GO:0006406	mRNA export from nucleus	53	31	15.43	1.6e-06	7.6e-06
BP	GO:0006364	rRNA processing	147	101	42.8	2.3e-06	2.0e-23
BP	GO:0000462	maturation of SSU-rRNA from tricistronic...	24	18	6.99	2.8e-06	4.3e-06
BP	GO:0000387	spliceosomal snRNP assembly	30	23	8.73	4.0e-06	9.4e-08
BP	GO:0031145	anaphase-promoting complex-dependent cat...	22	17	6.4	4.0e-06	4.0e-06
BP	GO:0006383	transcription from RNA polymerase III pr...	36	22	10.48	8.1e-06	6.4e-05
BP	GO:0043046	DNA methylation involved in gamete gener...	17	14	4.95	8.1e-06	8.1e-06
BP	GO:0051225	spindle assembly	63	33	18.34	1.1e-05	8.6e-05
BP	GO:0000398	mRNA splicing, via spliceosome	208	97	60.56	1.4e-05	5.3e-08
BP	GO:0051321	meiotic cell cycle	135	84	39.3	1.8e-05	1.1e-15
BP	GO:0006310	DNA recombination	178	113	51.82	2.0e-05	1.1e-21
BP	GO:0006283	transcription-coupled nucleotide-excisio...	28	19	8.15	2.4e-05	2.4e-05
BP	GO:0006368	transcription elongation from RNA polyme...	47	30	13.68	2.6e-05	8.0e-07
BP	GO:0007059	chromosome segregation	203	123	59.1	2.6e-05	5.8e-21
BP	GO:0007098	centrosome cycle	85	47	24.75	2.7e-05	3.8e-07
BP	GO:0051028	mRNA transport	102	59	29.7	3.5e-05	1.2e-09
BP	GO:0030174	regulation of DNA-dependent DNA replicat...	11	10	3.2	3.5e-05	3.5e-05
BP	GO:0000070	mitotic sister chromatid segregation	100	58	29.11	4.9e-05	1.5e-09
BP	GO:0051315	attachment of mitotic spindle microtubul...	8	8	2.33	5.1e-05	5.1e-05
BP	GO:0007140	male meiotic nuclear division	18	16	5.24	5.2e-05	2.1e-07
BP	GO:0006270	DNA replication initiation	26	22	7.57	6.4e-05	6.3e-09
BP	GO:0031297	replication fork processing	19	14	5.53	7.4e-05	7.4e-05
