sample	pop	stage	sex	group
Am2_231	Am	23	F	Am_23_F
Am4_232	Am	23	F	Am_23_F
Am5_232	Am	23	F	Am_23_F
Am2_233	Am	23	M	Am_23_M
Am4_231	Am	23	M	Am_23_M
Am5_231	Am	23	M	Am_23_M
Am2_274	Am	27	F	Am_27_F
Am4_271	Am	27	F	Am_27_F
Am5_273	Am	27	F	Am_27_F
Am2_275	Am	27	M	Am_27_M
Am4_272	Am	27	M	Am_27_M
Am5_274	Am	27	M	Am_27_M
Am2_314	Am	31	F	Am_31_F
Am2_318	Am	31	F	Am_31_F
Am4_314	Am	31	F	Am_31_F
Am5_311	Am	31	F	Am_31_F
Am2_315	Am	31	M	Am_31_M
Am2_316	Am	31	M	Am_31_M
Am4_317	Am	31	M	Am_31_M
Am5_312	Am	31	M	Am_31_M
Am5_313	Am	31	M	Am_31_M
Am2_433	Am	43	F	Am_43_F
Am4_435	Am	43	F	Am_43_F
Am5_433	Am	43	F	Am_43_F
Am1_434	Am	43	M	Am_43_M
Am2_434	Am	43	M	Am_43_M
Am4_434	Am	43	M	Am_43_M
Am2_464	Am	46	F	Am_46_F
Am6_464	Am	46	F	Am_46_F
Am2_463	Am	46	M	Am_46_M
Am4_461	Am	46	M	Am_46_M
Am6_462	Am	46	M	Am_46_M
A10FB	Amm	Brain	F	F_B
A12FB	Amm	Brain	F	F_B
A15FB	Amm	Brain	F	F_B
A16FB	Amm	Brain	F	F_B
A17FB	Amm	Brain	F	F_B
A10MB	Amm	Brain	M	M_B
A15MB	Amm	Brain	M	M_B
A16MB	Amm	Brain	M	M_B
A17MB	Amm	Brain	M	M_B
A8MB	Amm	Brain	M	M_B
A10FO1	Amm	gonad	F	F_O
A17FO1	Amm	gonad	F	F_O
A6FO1	Amm	gonad	F	F_O
A8FO2	Amm	gonad	F	F_O
A2FO2	Amm	gonad	F	F_O
A17MT1	Amm	gonad	M	M_T
A6MT1	Amm	gonad	M	M_T
A15MT1	Amm	gonad	M	M_T
A8MT1	Amm	gonad	M	M_T
A12MT1	Amm	gonad	M	M_T
A2FL1	Amm	liver	F	F_L
A7FL1	Amm	liver	F	F_L
A8FL1	Amm	liver	F	F_L
A12FL1	Amm	liver	F	F_L
A17FL1	Amm	liver	F	F_L
A15ML1	Amm	liver	M	M_L
A12ML1	Amm	liver	M	M_L
A17ML1	Amm	liver	M	M_L
A8ML1	Amm	liver	M	M_L
